,comp_interno1,comp_interno2,comp_interno4,categoria1,categoria3,comp_mixto1,comp_externo1,comp_externo2,comp_externo3,Comp_final
52,0,1,45,2,170,0.3669,16.23188406,0,84,0
53,0,1,51,1,146,0.38678,260.8695652,24.70554438,115,0
54,81.05369807,1,44,1,155,0.30436,55.07246377,5.458201666,95,1
56,0,1,55,3,160,0.34604,752.173913,74.54754381,89,1
59,1519.756839,1,61,2,175,0.25404,489.8550725,48.54926745,113,0
60,0,0,57,2,171,0.37,403.1884058,39.95978167,73,0
61,0,1,43,1,154,0.36,70.00289855,6.937948865,71,1
62,1013.171226,0,71,1,175,0.36998,289.8550725,28.72737719,49,1
64,0,0,49,1,146,0.29826,179.7101449,7.325481184,132,1
65,0,0,37,1,171,0.33986,46.66666667,0,93,0
66,1013.171226,1,52,1,175,0.3058,231.884058,22.98190175,121,0
67,1013.171226,1,46,2,153,0.36452,108.115942,10.71531169,111,1
68,2127.659574,0,47,1,162,0.36994,466.3768116,46.2223499,129,1
69,0,1,57,1,147,0.38,266.6666667,23.70008618,131,0
70,0,0,58,2,160,0.31206,211.5942029,20.97098535,85,1
71,0,1,70,1,146,0.35372,449.2753623,0,92,0
72,0,1,45,3,175,0.36,124.6376812,12.35277219,106,0
73,0,1,48,1,160,0.27776,95.65217391,9.480034473,112,0
75,0,1,46,1,169,0.33188,0,0,-609,1
76,0,1,50,3,160,0.36,502.3188406,49.78454467,123,1
77,1519.756839,1,72,3,164,0.31442,681.1594203,67.5093364,132,1
78,1215.805471,1,61,3,152,0.37334,173.0434783,10.05458202,115,1
79,0,1,47,1,164,0.35648,101.4492754,10.05458202,131,1
81,0,1,62,2,151,0.34454,26.08695652,2.585463947,111,1
83,0,1,52,4,164,0.31268,144.9275362,0,90,0
84,0,1,51,1,164,0.34912,290.4347826,5.056018386,124,0
85,506.585613,1,75,1,154,0.36482,62.60869565,0,86,0
86,911.8541033,1,75,1,164,0.37,101.4492754,10.05458202,51,0
87,0,1,58,2,159,0.21168,811.5942029,49.41108877,33,1
88,0,0,44,1,146,0.31244,57.97101449,5.745475438,129,1
89,0,0,50,2,146,0.38,75.36231884,6.320022982,59,0
90,425.5319149,0,50,3,147,0.38,154.7826087,15.34041942,109,1
91,0,1,68,3,164,0.3525,501.4492754,49.69836254,56,0
92,8105.369807,1,70,3,167,0.29578,765.2173913,75.84027578,132,0
94,0,1,68,3,151,0.33664,202.8985507,20.10916403,107,1
95,911.8541033,1,71,2,170,0.28,747.826087,31.45647802,134,1
96,0,1,54,1,146,0.3464,200,19.82189026,123,0
97,0,0,39,2,172,0.29904,118.2608696,11.72076989,131,1
98,1215.805471,1,73,3,151,0.2719,1159.42029,114.9095088,129,0
99,810.5369807,1,55,1,169,0.26,94.20289855,9.336397587,60,1
100,0,1,43,3,146,0.28974,265.3913043,26.30278656,87,1
101,0,1,46,3,164,0.3699,57.97101449,5.745475438,91,0
102,0,1,54,2,149,0.37,918.8405797,91.06578569,118,1
103,0,0,50,1,159,0.30228,86.95652174,8.618213157,117,0
104,0,0,49,4,164,0.2981,250.7246377,24.84918127,129,1
105,0,0,40,1,162,0.34588,269.8550725,26.74518816,75,0
106,0,1,63,3,164,0.36,585.5072464,0.002585464,92,0
107,0,0,48,1,159,0.29032,169.2753623,16.77678828,85,1
108,0,0,75,1,160,0.37,205.7971014,20.39643781,53,1
109,0,0,43,1,176,0.37,948.6956522,94.02470554,50,0
110,0,1,43,3,164,0.3607,46.37681159,4.59638035,80,0
111,0,0,43,3,159,0.36,41.15942029,4.079287561,46,1
112,1519.756839,1,57,3,164,0.344,57.97101449,5.745475438,27,1
113,1519.756839,1,62,1,146,0.34378,197.1014493,19.53461649,81,1
114,0,1,65,2,176,0.25852,631.1594203,45.70525711,112,0
115,0,1,72,1,146,0.26738,1179.710145,116.9204252,80,1
116,0,1,60,1,169,0.34,434.7826087,43.09106579,103,0
117,0,1,43,3,164,0.34012,28.98550725,2.872737719,43,1
118,0,1,43,1,146,0.37996,130.4347826,12.92731974,79,1
119,0,1,40,1,159,0.31112,0,0,-609,1
120,2422.492401,0,72,3,146,0.21488,111.1507246,0,48,1
121,0,1,51,3,173,0.36734,204.6666667,20.28440103,65,1
122,3546.099291,1,55,2,166,0.36364,1200,118.9313416,104,1
123,0,1,49,1,175,0.32212,666.6666667,38.78195921,95,1
124,0,1,54,1,168,0.37,263.7681159,26.14191324,-45,1
125,0,1,74,1,172,0.362,190.7246377,4.021832807,111,0
126,0,1,51,2,170,0.2969,947.826087,93.93852341,132,1
128,8105.369807,1,64,1,167,0.38,217.3913043,21.54553289,81,1
129,810.5369807,1,39,1,156,0.3352,75.36231884,7.46911807,74,1
130,1519.756839,1,66,3,176,0.38,283.1014493,28.0580293,108,0
131,0,0,43,1,162,0.37524,269.5652174,26.71646079,82,1
132,0,1,47,2,160,0.36972,460.8695652,45.67652973,61,0
133,0,1,59,1,167,0.39,205.7971014,20.39643781,125,1
134,0,1,57,3,164,0.38,121.7391304,8.043665613,120,1
135,0,1,47,2,168,0.38,289.8550725,28.72737719,73,1
136,0,1,75,2,159,0.26034,486.9565217,48.26199368,-41,0
137,0,0,45,1,167,0.33442,209.2753623,20.74116633,77,0
138,1013.171226,1,70,1,154,0.3348,404.3478261,40.07469118,117,0
139,0,0,53,2,170,0.33998,521.7391304,41.36742315,99,1
140,759.8784195,1,60,1,154,0.36742,339.1304348,33.61103131,127,0
141,0,1,30,1,154,0.29006,562.3188406,0.861821316,88,1
142,0,1,48,2,171,0.37,347.826087,6.03274921,100,1
143,0,0,58,1,159,0.29524,156.8115942,15.54151106,87,1
144,1519.756839,0,41,1,148,0.37476,28.98550725,2.872737719,91,0
145,4052.684904,1,47,2,164,0.35,0,0,-608,1
146,0,0,45,1,160,0.37736,39.13043478,3.878195921,113,1
147,0,0,47,1,146,0.36,434.7826087,43.09106579,31,1
148,1215.805471,1,63,3,170,0.34578,665.2173913,65.49841999,123,0
149,0,1,55,1,175,0.33216,288.6956522,8.005170928,127,0
150,0,0,58,3,167,0.37,33.91304348,2.872737719,142,1
151,0,1,48,3,164,0.37,217.3913043,21.54553289,59,1
152,0,1,47,2,172,0.366,115.942029,0,53,1
153,0,1,44,1,146,0.30336,405.2173913,32.08848032,106,1
154,0,0,51,1,154,0.328,229.1304348,22.70899167,118,1
155,8105.369807,1,54,1,168,0.37,1457.971014,144.4987073,124,0
156,0,0,52,2,146,0.38,347.826087,34.47285263,113,1
157,0,1,44,1,154,0.30588,84.05797101,8.330939385,52,1
158,0,1,71,3,159,0.34706,552.173913,54.72565355,84,0
159,0,1,57,2,164,0.3674,663.7681159,65.78569377,65,1
160,0,0,58,2,154,0.31066,2898.550725,287.2737719,102,0
161,0,0,52,2,148,0.37778,144.9275362,8.043665613,121,1
162,607.9027356,1,56,1,156,0.37,115.942029,9.623671359,94,1
163,3546.099291,1,44,2,159,0.37,86.95652174,0,128,1
164,0,1,73,2,164,0.28332,1101.449275,109.1640333,106,1
166,0,1,69,1,146,0.31202,529.1304348,18.96006895,79,0
167,2735.56231,1,51,3,159,0.25998,60.86956522,6.03274921,61,1
168,0,0,50,1,168,0.35,57.97101449,5.745475438,84,1
170,455.9270517,1,46,1,164,0.36,10.43478261,1.034185579,97,0
171,911.8541033,1,46,1,169,0.368,26.37681159,2.614191324,36,0
172,0,1,65,3,164,0.3056,48.69565217,4.021832807,43,0
173,0,1,57,1,168,0.36168,318.8405797,28.72737719,129,1
174,455.9270517,1,55,2,162,0.34,58.25507246,0,61,1
175,0,1,64,1,146,0.2653,284.057971,28.15282965,134,0
178,0,1,36,1,159,0.31384,28.98550725,2.872737719,62,0
179,0,1,44,2,169,0.28668,168.115942,16.66187877,104,1
180,1013.171226,1,55,2,164,0.31224,950.7246377,94.22579718,95,1
182,0,0,49,1,160,0.38,185.5072464,16.66187877,67,0
183,0,1,36,1,154,0.37,156.5217391,15.51278368,42,1
184,0,1,57,1,150,0.3656,191.3043478,18.96006895,111,0
185,0,1,59,3,164,0.34988,28.98550725,2.872737719,66,1
186,0,1,64,2,164,0.28858,289.8550725,28.72737719,83,0
187,1013.171226,0,45,3,159,0.35296,88.98550725,6.03274921,128,1
188,0,1,59,1,159,0.31764,177.3913043,13.51335823,81,0
189,0,1,44,3,164,0.36286,234.7826087,23.26917552,123,0
190,658.5612969,1,47,2,147,0.28334,156.5217391,15.51278368,96,0
191,0,0,55,3,164,0.3,713.0434783,70.66934789,124,0
192,911.8541033,1,45,3,164,0.30854,107.2463768,6.004021833,110,0
193,1013.171226,1,61,3,173,0.34,76.52173913,0,68,1
194,0,0,56,1,168,0.3324,121.7391304,12.06549842,79,1
195,607.9027356,1,70,1,153,0.36818,34.72463768,0,128,0
196,0,1,61,2,171,0.36626,57.50724638,5.699511635,84,1
197,0,0,42,1,146,0.368,354.6202899,35.14622235,-58,1
198,0,1,70,1,164,0.31142,250.1449275,13.21459351,129,0
199,0,1,75,2,159,0.32654,888.4057971,88.04941109,122,1
201,56241.13475,0,64,1,146,0.27926,460.6376812,45.65354783,94,0
202,0,1,48,2,146,0.33696,68.4057971,6.779661017,129,0
203,0,1,59,1,160,0.38,425.2173913,42.14306234,20,1
204,101.3171226,1,50,1,155,0.36548,43.47826087,3.447285263,126,1
205,0,0,62,1,146,0.37,202.8985507,7.066934789,4,0
206,607.9027356,1,45,3,160,0.3698,284.057971,28.15282965,68,0
207,0,0,46,1,160,0.39,55.07246377,5.458201666,106,1
208,8105.369807,1,71,1,166,0.27802,724.6376812,71.81844298,91,0
209,3039.513678,1,69,4,164,0.36,299.7101449,14.3636886,46,0
210,1013.171226,1,68,1,175,0.38,43.47826087,4.309106579,117,1
211,303.9513678,1,52,1,175,0.28322,405.7971014,40.21832807,105,0
212,810.5369807,1,51,1,155,0.378,330.4347826,32.74921,1,0
213,709.2198582,1,47,1,152,0.36998,124.6376812,12.35277219,109,0
214,0,1,54,3,160,0.354,60.57971014,6.004021833,128,1
215,0,1,75,2,166,0.38,512.4637681,50.79000287,125,0
216,0,0,61,1,146,0.38,508.6956522,50.41654697,-31,0
217,0,1,53,3,164,0.30776,150.7246377,14.93823614,107,0
218,0,1,49,1,146,0.31764,533.3333333,52.85837403,124,0
219,1013.171226,0,50,1,149,0.35568,6.376811594,0,99,0
220,0,0,58,1,156,0.3126,45.2173913,4.309106579,92,1
222,1215.805471,1,59,1,156,0.35874,289.8550725,14.93823614,127,0
223,0,1,75,1,148,0.3,0.014492754,0,128,1
224,0,1,52,1,164,0.28886,217.3913043,21.54553289,84,0
225,0,1,69,3,173,0.35328,59.42028986,5.889112324,43,1
226,1013.171226,1,51,2,156,0.34,113.0434783,0,95,0
227,1013.171226,0,75,1,146,0.29358,0,0,-608,0
228,0,1,44,1,160,0.37,127.5362319,1.149095088,42,1
229,0,0,52,3,146,0.35422,796.5449275,66.36024131,125,0
230,0,1,51,2,167,0.26848,182.6086957,18.09824763,-6,0
231,0,0,67,2,147,0.3,863.7681159,85.60758403,129,1
232,0,1,50,3,160,0.36438,136.2318841,13.50186728,107,1
233,0,0,57,3,146,0.325,101.4492754,4.309106579,129,0
234,1013.171226,1,68,1,170,0.28296,820.2898551,81.29847745,85,1
235,0,1,48,2,167,0.38,2.898550725,0,78,0
236,0,0,47,2,161,0.35,489.8550725,48.54926745,96,1
237,1215.805471,1,45,1,151,0.296,0,0,119,0
238,0,0,57,3,164,0.38,241.7391304,0,120,1
239,0,0,60,3,169,0.38,378.2608696,37.48922723,106,0
240,911.8541033,1,60,4,164,0.27514,347.826087,12.92731974,129,1
241,0,0,55,1,169,0.37994,579.7101449,57.45475438,115,1
242,0,1,44,1,155,0.38,217.3913043,21.54553289,100,0
243,0,1,48,4,164,0.3185,188.5217391,18.68428612,122,0
244,0,1,57,1,146,0.31814,875.3623188,20.10916403,80,0
245,2330.29382,0,67,3,162,0.38,788.4057971,78.13846596,127,0
246,0,1,59,1,169,0.30838,82.60869565,8.187302499,139,1
247,506.585613,1,55,1,173,0.3574,115.942029,11.49095088,119,1
248,0,0,59,1,160,0.21908,571.0144928,56.59293307,86,0
249,0,0,58,2,171,0.38,1334.492754,132.2608446,130,1
250,4052.684904,1,65,1,148,0.25928,718.8405797,71.24389543,124,0
251,0,1,49,1,154,0.28306,95.65217391,9.480034473,114,1
252,1519.756839,0,61,3,164,0.3527,59.42028986,0,133,1
254,506.585613,0,56,2,167,0.39,430.4347826,42.66015513,132,0
255,0,0,64,3,175,0.26,278.2608696,27.5782821,56,0
256,0,1,67,2,146,0.2781,988.4057971,71.81844298,77,1
257,2026.342452,1,57,1,171,0.32924,433.0434783,42.91870152,79,1
258,0,0,46,3,159,0.36654,182.6086957,18.09824763,98,1
259,0,1,57,1,164,0.33636,0,0,-609,1
260,0,0,48,1,146,0.33864,327.5362319,32.46193623,101,0
262,0,0,75,1,162,0.29656,710.1449275,65.49841999,113,0
263,2026.342452,1,71,3,154,0.35938,504.6376812,50.01436369,127,0
264,810.5369807,0,57,3,148,0.35916,121.7391304,12.06549842,106,1
265,810.5369807,0,52,1,151,0.32,146.3768116,14.50732548,77,0
266,0,0,45,2,159,0.28312,220.2898551,21.83280666,80,0
267,0,0,59,2,171,0.38,1219.565217,120.8704395,119,1
268,0,1,44,2,160,0.28338,262.057971,25.97242172,106,1
269,0,1,58,1,146,0.3137,191.3043478,9.480034473,115,1
270,0,0,51,3,146,0.3202,237.6811594,7.46911807,111,0
271,0,1,58,1,160,0.33956,724.6376812,12.20913531,99,1
273,0,1,51,1,160,0.38,202.8985507,20.10916403,70,1
274,0,0,68,2,158,0.33334,420.2898551,36.19649526,75,1
275,810.5369807,0,59,1,175,0.37,153.6231884,0,90,1
276,4559.270517,1,57,3,167,0.37,2228.985507,220.9135306,123,0
277,0,1,52,1,169,0.368,60.86956522,6.03274921,59,1
278,0,1,46,1,158,0.37,42.02898551,4.165469693,63,1
279,0,0,52,2,146,0.35082,75.36231884,7.46911807,73,1
280,0,1,44,1,164,0.37982,130.4347826,11.49095088,74,1
281,0,1,53,1,146,0.36,176.7913043,17.52168917,68,0
282,1783.181358,1,43,1,173,0.35238,342.0289855,33.89830508,58,0
283,1013.171226,0,63,2,154,0.23354,840.5797101,83.30939385,108,0
284,0,1,72,3,164,0.26656,484.057971,31.60011491,87,1
285,1519.756839,1,56,2,160,0.3616,156.5217391,15.51278368,80,1
286,2026.342452,1,57,2,173,0.29788,724.6376812,50.84171215,132,1
288,0,0,58,1,166,0.33636,452.173913,44.81470842,68,1
289,0,0,48,1,164,0.37814,121.7391304,12.06549842,127,0
290,0,0,51,1,164,0.35222,72.46376812,7.181844298,57,1
291,506.585613,1,45,1,165,0.38,66.66666667,6.607296754,94,1
292,0,1,37,1,146,0.35384,460.8695652,45.67652973,127,0
293,0,1,68,2,164,0.36202,823.1884058,81.58575122,96,1
294,0,0,48,1,146,0.24416,892.7536232,88.48032175,127,0
295,3799.392097,1,53,2,167,0.34,282.6086957,28.00919276,119,1
296,0,1,45,1,149,0.31952,144.9275362,10.91640333,60,1
297,0,0,74,1,156,0.34,1152.753623,114.2487791,51,1
298,1013.171226,0,53,1,164,0.33164,0,0,93,1
299,1013.171226,1,47,2,161,0.31714,0,0,-609,0
300,10131.71226,1,67,1,146,0.36326,1208.695652,119.7931629,112,0
301,0,1,51,1,151,0.34546,73.91304348,0,118,1
303,0,1,64,1,159,0.29998,724.9855072,57.45475438,51,0
304,0,1,50,1,170,0.33232,20.28985507,2.010916403,84,1
305,0,1,60,1,170,0.37628,1543.478261,152.9732835,107,0
306,0,1,67,2,164,0.36488,905.7971014,89.77305372,35,0
307,0,1,49,1,146,0.33768,608.6956522,60.3274921,122,0
308,0,0,50,2,160,0.3796,0,0,-608,0
309,1621.073961,1,54,1,167,0.33066,724.6376812,71.81844298,62,0
310,506.585613,1,41,3,154,0.33334,217.3913043,21.54553289,69,0
312,0,1,52,1,154,0.34376,478.2608696,0,108,1
313,0,1,58,2,167,0.35108,292.173913,28.95719621,31,0
314,4052.684904,0,54,2,160,0.38,33.33333333,3.303648377,98,1
315,607.9027356,1,47,1,171,0.34638,246.3768116,24.41827061,43,1
316,810.5369807,1,49,3,164,0.33766,310.1449275,30.73829359,93,1
317,0,1,70,1,159,0.37,284.057971,28.15282965,128,0
318,810.5369807,1,66,4,147,0.36068,140.8695652,9.480034473,121,1
320,0,1,54,1,175,0.36104,144.9275362,12.06549842,132,0
321,0,0,56,3,158,0.3324,0,0,-608,0
322,0,1,49,1,148,0.32864,144.9275362,14.3636886,46,0
323,4052.684904,1,55,1,156,0.36998,43.47826087,4.309106579,128,0
324,0,0,59,1,164,0.38,614.4927536,24.41827061,124,0
325,0,0,55,2,146,0.359,0,0,76,0
326,0,1,49,1,146,0.36,139.1304348,10.68658431,79,1
327,0,1,57,2,170,0.37,942.0289855,93.36397587,35,0
328,0,1,59,2,159,0.3,2898.550725,25.85463947,112,0
329,0,0,43,1,167,0.38,63.47826087,6.291295605,106,0
330,0,0,64,1,159,0.32308,75.36231884,7.46911807,96,1
331,0,1,47,1,176,0.30666,272.4637681,27.00373456,84,0
332,1013.171226,1,71,2,176,0.30478,579.7101449,28.72737719,122,1
333,1215.805471,1,50,1,162,0.32688,313.0434783,31.02556737,98,0
334,2532.928065,1,75,2,156,0.3075,343.9130435,34.08503304,26,0
335,0,1,57,3,164,0.31818,118.7826087,11.77247917,131,0
336,0,1,50,2,146,0.32528,86.95652174,8.618213157,121,1
337,0,1,61,3,159,0.325,5.797101449,0.574547544,-608,1
338,0,1,58,2,170,0.23704,1475.942029,146.2798047,123,0
339,3039.513678,1,46,2,160,0.30816,57.97101449,5.745475438,82,0
340,1519.756839,0,42,1,167,0.368,17.39130435,1.723642631,111,0
341,0,0,50,3,154,0.3,842.0289855,83.45303074,131,0
342,0,1,60,1,176,0.37838,150.7246377,5.745475438,77,0
343,658.5612969,1,75,1,168,0.368,115.942029,11.49095088,82,1
344,3039.513678,1,74,3,160,0.32308,608.6956522,48.54926745,132,0
345,0,1,74,1,175,0.38,1080.434783,107.0812985,92,1
346,2026.342452,1,75,3,159,0.25142,649.2753623,64.34932491,114,0
347,0,1,45,1,164,0.30948,162.3188406,16.08733123,107,1
349,0,1,59,2,151,0.2678,194.2028986,19.24734272,126,1
350,0,0,43,1,159,0.2989,217.3913043,21.54553289,119,0
351,0,0,59,1,150,0.28934,385.3623188,38.19304797,115,1
353,405.2684904,1,42,1,151,0.35604,0,0,-609,1
354,0,0,57,1,146,0.28222,0,0,-608,0
355,0,1,44,1,164,0.3478,171.1942029,16.96696352,67,0
356,0,1,73,3,164,0.23546,891.5942029,88.36541224,93,0
357,7092.198582,0,72,1,166,0.29896,234.7826087,20.10916403,86,1
358,607.9027356,1,52,1,166,0.37,427.826087,42.40160873,105,1
359,1215.805471,1,50,2,156,0.3311,1681.15942,51.42200517,123,0
360,1519.756839,0,51,2,175,0.26936,0,0,-608,1
361,0,1,44,3,164,0.27792,144.9275362,14.3636886,123,1
362,0,1,52,2,148,0.35882,75.36231884,7.46911807,71,1
363,4052.684904,1,53,1,156,0.36936,436.2318841,43.23470267,95,0
364,0,1,52,1,168,0.38232,150.7246377,14.93823614,118,0
365,536.9807497,0,38,1,173,0.34,42.02898551,4.165469693,98,0
366,0,0,39,1,166,0.3613,215.5072464,21.35880494,84,1
367,911.8541033,1,58,1,159,0.32394,579.7101449,14.3636886,81,1
368,0,1,48,2,160,0.32604,166.6666667,16.51824188,80,0
369,1215.805471,1,52,2,156,0.3332,153.3333333,15.19678253,109,1
370,810.5369807,0,68,3,166,0.35978,43.47826087,0,132,0
371,0,1,48,2,159,0.27556,286.3768116,28.38264866,108,1
372,0,1,53,2,159,0.37868,11.5942029,1.149095088,86,1
373,0,1,73,2,162,0.32998,868.6956522,86.09594944,-29,0
374,8105.369807,1,53,1,176,0.35294,2455.072464,243.3208848,114,1
375,0,1,59,1,163,0.29334,579.7101449,57.45475438,110,1
376,0,0,46,3,154,0.30144,31.88405797,0.861821316,72,0
377,0,1,49,2,160,0.30672,318.8405797,31.60011491,131,1
379,0,0,75,1,175,0.34,345.2173913,34.21430623,22,1
380,0,0,51,3,164,0.27748,17.39130435,0,-608,1
381,1266.464032,0,68,1,146,0.37,550.7246377,54.58201666,84,0
383,1013.171226,1,53,3,153,0.37,237.6811594,0,121,1
384,709.2198582,1,50,1,159,0.37,147.826087,14.65096237,55,1
385,3546.099291,1,64,1,159,0.31792,1111.594203,110.1694915,96,0
386,0,0,51,1,164,0.28814,0,0,-609,1
387,0,1,43,2,156,0.37766,46.37681159,4.59638035,-608,1
388,0,1,45,3,164,0.35988,89.85507246,8.905486929,112,0
389,2085.106383,1,61,4,159,0.25976,289.8550725,28.72737719,51,0
390,810.5369807,1,66,2,167,0.33426,1064.637681,105.5156564,119,1
392,0,1,51,1,160,0.33574,0,0,44,1
393,2026.342452,1,75,1,170,0.32904,371.0144928,36.7710428,99,1
394,2026.342452,1,53,1,160,0.37994,1884.057971,186.7279517,125,1
395,1519.756839,1,49,3,168,0.31334,188.4057971,18.67279517,125,1
397,2026.342452,1,56,1,160,0.37,28.98550725,2.872737719,61,1
398,0,1,74,2,170,0.278,1980.289855,196.265441,121,1
399,0,1,61,2,151,0.38,101.4492754,0,121,0
400,0,1,75,1,146,0.36222,1262.318841,125.1077277,75,1
401,0,1,43,1,171,0.28776,298.5507246,29.58919851,113,1
402,0,1,50,1,167,0.33228,217.3913043,20.97098535,40,1
403,0,1,45,2,156,0.36554,53.62318841,5.31456478,38,1
404,0,1,75,2,170,0.29642,617.1014493,61.16058604,122,1
405,0,0,42,1,160,0.30994,113.0434783,11.2036771,105,1
406,0,0,50,2,146,0.23514,510.4347826,0,129,0
407,3039.513678,1,72,2,161,0.26,930.4347826,92.21488078,97,1
408,2026.342452,1,58,2,162,0.24138,1196.521739,118.586613,48,1
409,3546.099291,0,73,2,161,0.29978,750.1449275,20.10916403,126,0
411,20263.42452,1,53,1,146,0.38,926.6666667,91.84142488,75,1
412,5471.12462,1,75,1,161,0.38,568.6956522,56.36311405,127,0
413,5065.85613,0,55,3,166,0.32012,14.49275362,0,-608,1
414,0,0,71,1,166,0.31166,115.942029,6.03274921,128,0
415,1013.171226,0,67,1,175,0.32552,75.36231884,7.46911807,77,1
417,0,1,75,1,162,0.30078,289.8550725,8.618213157,53,1
418,0,1,39,1,161,0.2474,67.82608696,2.010916403,117,1
419,1519.756839,1,75,2,156,0.37714,1159.42029,36.19649526,128,0
420,0,1,58,2,163,0.2131,385.5072464,38.20741166,25,1
421,607.9027356,1,48,2,155,0.37472,199.7101449,19.79316288,112,0
422,0,0,45,1,164,0.363,208.6956522,4.309106579,123,1
423,506.585613,1,55,1,170,0.3238,1207.246377,119.649526,122,0
424,0,1,59,1,169,0.29958,57.97101449,2.585463947,82,1
425,0,1,71,1,169,0.37,159.4202899,0,110,0
426,2026.342452,1,65,4,167,0.35296,1061.73913,105.2283826,125,1
427,6686.930091,1,62,2,171,0.30526,840.5217391,83.30364838,129,0
428,0,1,42,1,170,0.35462,49.27536232,4.883654122,71,0
429,0,0,47,1,166,0.3723,517.1014493,51.24964091,105,0
430,1671.732523,0,48,1,153,0.36,330.4347826,32.74921,92,0
431,3039.513678,1,54,2,173,0.30238,118.8405797,11.77822465,70,1
432,0,1,56,1,160,0.33838,142.0289855,0,86,1
433,1114.488349,1,75,3,156,0.28806,347.5362319,34.44412525,86,1
434,607.9027356,1,59,2,176,0.3294,112.7536232,0,125,0
435,0,1,49,2,146,0.35726,168.115942,16.66187877,108,1
436,0,1,48,3,164,0.38,289.8550725,10.34185579,68,0
437,911.8541033,1,63,2,167,0.32834,72.46376812,7.181844298,114,1
438,1013.171226,1,75,3,153,0.26,355.1014493,35.1939098,114,0
439,0,1,73,2,170,0.32578,247.0144928,24.48147084,130,0
440,6079.027356,0,75,2,162,0.33012,511.5942029,13.35823039,115,1
441,0,0,49,3,164,0.32728,124.6376812,12.35277219,102,1
442,0,1,51,1,160,0.2833,105.7971014,10.48549267,131,0
443,1215.805471,1,46,2,151,0.35752,8.695652174,0,-608,1
444,0,0,69,1,170,0.38,497.1014493,21.54553289,111,1
445,0,1,70,3,164,0.33078,231.884058,22.98190175,130,0
