comp_interno1,comp_interno2,comp_interno4,categoria1,categoria3,comp_mixto1,comp_externo1,comp_externo2,comp_externo3,Comp_final
0,b'1',59,1,160,0.38,425.2173913,42.14306234,20,1
101.3171226,b'1',50,1,155,0.36548,43.47826087,3.447285263,126,1
607.9027356,b'1',45,3,160,0.3698,284.057971,28.15282965,68,1
0,b'0',46,1,160,0.39,55.07246377,5.458201666,106,1
3039.513678,b'1',69,4,164,0.36,299.7101449,14.3636886,46,1
1013.171226,b'1',68,1,175,0.38,43.47826087,4.309106579,117,1
810.5369807,b'1',51,1,155,0.378,330.4347826,32.74921,1,1
709.2198582,b'1',47,1,152,0.36998,124.6376812,12.35277219,109,1
0,b'1',54,3,160,0.354,60.57971014,6.004021833,128,1
0,b'1',75,2,166,0.38,512.4637681,50.79000287,125,1
1013.171226,b'0',50,1,149,0.35568,6.376811594,-10,99,1
0,b'0',58,1,156,0.3126,45.2173913,4.309106579,92,1
1215.805471,b'1',59,1,156,0.35874,289.8550725,14.93823614,127,1
0,b'1',52,1,164,0.28886,217.3913043,21.54553289,84,1
0,b'1',69,3,173,0.35328,59.42028986,5.889112324,43,1
1013.171226,b'1',51,2,156,0.34,113.0434783,-10,95,1
1013.171226,b'0',75,1,146,0.29358,-10,-10,-608,1
0,b'1',51,2,167,0.26848,182.6086957,18.09824763,-6,1
0,b'0',67,2,147,0.3,863.7681159,85.60758403,129,1
0,b'1',50,3,160,0.36438,136.2318841,13.50186728,107,1
1013.171226,b'1',68,1,170,0.28296,820.2898551,81.29847745,85,1
0,b'1',48,2,167,0.38,2.898550725,-10,78,1
0,b'0',47,2,161,0.35,489.8550725,48.54926745,96,1
0,b'0',57,3,164,0.38,241.7391304,-10,120,1
0,b'0',60,3,169,0.38,378.2608696,37.48922723,106,1
911.8541033,b'1',60,4,164,0.27514,347.826087,12.92731974,129,1
0,b'0',55,1,169,0.37994,579.7101449,57.45475438,115,1
0,b'1',44,1,155,0.38,217.3913043,21.54553289,100,1
0,b'1',57,1,146,0.31814,875.3623188,20.10916403,80,1
0,b'1',59,1,169,0.30838,82.60869565,8.187302499,139,1
506.585613,b'1',55,1,173,0.3574,115.942029,11.49095088,119,1
0,b'0',58,2,171,0.38,1334.492754,132.2608446,130,1
4052.684904,b'1',65,1,148,0.25928,718.8405797,71.24389543,124,1
0,b'1',49,1,154,0.28306,95.65217391,9.480034473,114,1
1519.756839,b'0',61,3,164,0.3527,59.42028986,-10,133,1
506.585613,b'0',56,2,167,0.39,430.4347826,42.66015513,132,1
0,b'0',64,3,175,0.26,278.2608696,27.5782821,56,1
0,b'1',67,2,146,0.2781,988.4057971,71.81844298,77,1
2026.342452,b'1',57,1,171,0.32924,433.0434783,42.91870152,79,1
0,b'0',46,3,159,0.36654,182.6086957,18.09824763,98,1
0,b'1',57,1,164,0.33636,-10,-10,-609,1
0,b'0',48,1,146,0.33864,327.5362319,32.46193623,101,1
0,b'0',75,1,162,0.29656,710.1449275,65.49841999,113,1
810.5369807,b'0',57,3,148,0.35916,121.7391304,12.06549842,106,1
810.5369807,b'0',52,1,151,0.32,146.3768116,14.50732548,77,1
0,b'0',45,2,159,0.28312,220.2898551,21.83280666,80,1
0,b'0',59,2,171,0.38,1219.565217,120.8704395,119,1
0,b'1',44,2,160,0.28338,262.057971,25.97242172,106,1
0,b'1',58,1,146,0.3137,191.3043478,9.480034473,115,1
0,b'1',58,1,160,0.33956,724.6376812,12.20913531,99,1
0,b'1',51,1,160,0.38,202.8985507,20.10916403,70,1
810.5369807,b'0',59,1,175,0.37,153.6231884,-10,90,1
0,b'1',52,1,169,0.368,60.86956522,6.03274921,59,1
0,b'1',46,1,158,0.37,42.02898551,4.165469693,63,1
0,b'0',52,2,146,0.35082,75.36231884,7.46911807,73,1
0,b'1',44,1,164,0.37982,130.4347826,11.49095088,74,1
0,b'1',53,1,146,0.36,176.7913043,17.52168917,68,1
1783.181358,b'1',43,1,173,0.35238,342.0289855,33.89830508,58,1
1013.171226,b'0',63,2,154,0.23354,840.5797101,83.30939385,108,1
0,b'1',72,3,164,0.26656,484.057971,31.60011491,87,1
2026.342452,b'1',57,2,173,0.29788,724.6376812,50.84171215,132,1
506.585613,b'1',45,1,165,0.38,66.66666667,6.607296754,94,1
3799.392097,b'1',53,2,167,0.34,282.6086957,28.00919276,119,1
0,b'1',45,1,149,0.31952,144.9275362,10.91640333,60,1
1013.171226,b'0',53,1,164,0.33164,-10,-10,93,1
1013.171226,b'1',47,2,161,0.31714,-10,-10,-609,1
10131.71226,b'1',67,1,146,0.36326,1208.695652,119.7931629,112,1
0,b'1',51,1,151,0.34546,73.91304348,-10,118,1
0,b'1',50,1,170,0.33232,20.28985507,2.010916403,84,1
0,b'1',49,1,146,0.33768,608.6956522,60.3274921,122,1
0,b'0',50,2,160,0.3796,-10,-10,-608,1
0,b'1',58,2,167,0.35108,292.173913,28.95719621,31,1
4052.684904,b'0',54,2,160,0.38,33.33333333,3.303648377,98,1
607.9027356,b'1',47,1,171,0.34638,246.3768116,24.41827061,43,1
810.5369807,b'1',49,3,164,0.33766,310.1449275,30.73829359,93,1
0,b'1',70,1,159,0.37,284.057971,28.15282965,128,1
810.5369807,b'1',66,4,147,0.36068,140.8695652,9.480034473,121,1
0,b'0',56,3,158,0.3324,-10,-10,-608,1
0,b'1',49,1,148,0.32864,144.9275362,14.3636886,46,1
4052.684904,b'1',55,1,156,0.36998,43.47826087,4.309106579,128,1
0,b'0',59,1,164,0.38,614.4927536,24.41827061,124,1
0,b'0',55,2,146,0.359,-10,-10,76,1
0,b'1',49,1,146,0.36,139.1304348,10.68658431,79,1
0,b'1',57,2,170,0.37,942.0289855,93.36397587,35,1
0,b'1',59,2,159,0.3,2898.550725,25.85463947,112,1
0,b'0',43,1,167,0.38,63.47826087,6.291295605,106,1
0,b'1',47,1,176,0.30666,272.4637681,27.00373456,84,1
1013.171226,b'1',71,2,176,0.30478,579.7101449,28.72737719,122,1
1215.805471,b'1',50,1,162,0.32688,313.0434783,31.02556737,98,1
0,b'1',50,2,146,0.32528,86.95652174,8.618213157,121,1
0,b'1',61,3,159,0.325,5.797101449,0.574547544,-608,1
3039.513678,b'1',46,2,160,0.30816,57.97101449,5.745475438,82,1
1519.756839,b'0',42,1,167,0.368,17.39130435,1.723642631,111,1
0,b'0',50,3,154,0.3,842.0289855,83.45303074,131,1
0,b'1',60,1,176,0.37838,150.7246377,5.745475438,77,1
658.5612969,b'1',75,1,168,0.368,115.942029,11.49095088,82,1
0,b'1',74,1,175,0.38,1080.434783,107.0812985,92,1
2026.342452,b'1',75,3,159,0.25142,649.2753623,64.34932491,114,1
0,b'1',45,1,164,0.30948,162.3188406,16.08733123,107,1
0,b'1',59,2,151,0.2678,194.2028986,19.24734272,126,1
0,b'0',43,1,159,0.2989,217.3913043,21.54553289,119,1
405.2684904,b'1',42,1,151,0.35604,-10,-10,-609,1
0,b'0',57,1,146,0.28222,-10,-10,-608,1
0,b'1',44,1,164,0.3478,171.1942029,16.96696352,67,1
0,b'1',73,3,164,0.23546,891.5942029,88.36541224,93,1
7092.198582,b'0',72,1,166,0.29896,234.7826087,20.10916403,86,1
607.9027356,b'1',52,1,166,0.37,427.826087,42.40160873,105,1
1519.756839,b'0',51,2,175,0.26936,-10,-10,-608,1
0,b'1',44,3,164,0.27792,144.9275362,14.3636886,123,1
4052.684904,b'1',53,1,156,0.36936,436.2318841,43.23470267,95,1
0,b'1',52,1,168,0.38232,150.7246377,14.93823614,118,1
536.9807497,b'0',38,1,173,0.34,42.02898551,4.165469693,98,1
0,b'0',39,1,166,0.3613,215.5072464,21.35880494,84,1
911.8541033,b'1',58,1,159,0.32394,579.7101449,14.3636886,81,1
0,b'1',48,2,160,0.32604,166.6666667,16.51824188,80,1
1215.805471,b'1',52,2,156,0.3332,153.3333333,15.19678253,109,1
810.5369807,b'0',68,3,166,0.35978,43.47826087,-10,132,1
0,b'1',48,2,159,0.27556,286.3768116,28.38264866,108,1
0,b'1',53,2,159,0.37868,11.5942029,1.149095088,86,1
0,b'1',73,2,162,0.32998,868.6956522,86.09594944,-29,1
0,b'1',49,2,160,0.30672,318.8405797,31.60011491,131,1
0,b'0',51,3,164,0.27748,17.39130435,-10,-608,1
1266.464032,b'0',68,1,146,0.37,550.7246377,54.58201666,84,1
709.2198582,b'1',50,1,159,0.37,147.826087,14.65096237,55,1
0,b'0',51,1,164,0.28814,-10,-10,-609,1
0,b'1',43,2,156,0.37766,46.37681159,4.59638035,-608,1
0,b'1',45,3,164,0.35988,89.85507246,8.905486929,112,1
2085.106383,b'1',61,4,159,0.25976,289.8550725,28.72737719,51,1
0,b'1',51,1,160,0.33574,-10,-10,44,1
2026.342452,b'1',53,1,160,0.37994,1884.057971,186.7279517,125,1
1519.756839,b'1',49,3,168,0.31334,188.4057971,18.67279517,125,1
0,b'1',74,2,170,0.278,1980.289855,196.265441,121,1
0,b'1',75,1,146,0.36222,1262.318841,125.1077277,75,1
0,b'1',43,1,171,0.28776,298.5507246,29.58919851,113,1
0,b'1',45,2,156,0.36554,53.62318841,5.31456478,38,1
0,b'1',75,2,170,0.29642,617.1014493,61.16058604,122,1
0,b'0',42,1,160,0.30994,113.0434783,11.2036771,105,1
3039.513678,b'1',72,2,161,0.26,930.4347826,92.21488078,97,1
2026.342452,b'1',58,2,162,0.24138,1196.521739,118.586613,48,1
3546.099291,b'0',73,2,161,0.29978,750.1449275,20.10916403,126,1
20263.42452,b'1',53,1,146,0.38,926.6666667,91.84142488,75,1
5471.12462,b'1',75,1,161,0.38,568.6956522,56.36311405,127,1
5065.85613,b'0',55,3,166,0.32012,14.49275362,-10,-608,1
0,b'0',71,1,166,0.31166,115.942029,6.03274921,128,1
1013.171226,b'0',67,1,175,0.32552,75.36231884,7.46911807,77,1
0,b'1',75,1,162,0.30078,289.8550725,8.618213157,53,1
0,b'1',39,1,161,0.2474,67.82608696,2.010916403,117,1
1519.756839,b'1',75,2,156,0.37714,1159.42029,36.19649526,128,1
0,b'1',58,2,163,0.2131,385.5072464,38.20741166,25,1
607.9027356,b'1',48,2,155,0.37472,199.7101449,19.79316288,112,1
0,b'0',45,1,164,0.363,208.6956522,4.309106579,123,1
506.585613,b'1',55,1,170,0.3238,1207.246377,119.649526,122,1
0,b'1',59,1,169,0.29958,57.97101449,2.585463947,82,1
0,b'1',71,1,169,0.37,159.4202899,-10,110,1
6686.930091,b'1',62,2,171,0.30526,840.5217391,83.30364838,129,1
0,b'0',47,1,166,0.3723,517.1014493,51.24964091,105,1
1671.732523,b'0',48,1,153,0.36,330.4347826,32.74921,92,1
3039.513678,b'1',54,2,173,0.30238,118.8405797,11.77822465,70,1
0,b'1',56,1,160,0.33838,142.0289855,-10,86,1
607.9027356,b'1',59,2,176,0.3294,112.7536232,-10,125,1
0,b'1',49,2,146,0.35726,168.115942,16.66187877,108,1
0,b'1',48,3,164,0.38,289.8550725,10.34185579,68,1
911.8541033,b'1',63,2,167,0.32834,72.46376812,7.181844298,114,1
1013.171226,b'1',75,3,153,0.26,355.1014493,35.1939098,114,1
6079.027356,b'0',75,2,162,0.33012,511.5942029,13.35823039,115,1
0,b'1',51,1,160,0.2833,105.7971014,10.48549267,131,1
0,b'0',69,1,170,0.38,497.1014493,21.54553289,111,1
0,b'1',70,3,164,0.33078,231.884058,22.98190175,130,1
5065.85613,b'1',72,2,159,0.34,172.7536232,12.18040793,61,1
2026.342452,b'0',64,1,160,0.3414,358.2608696,-10,79,1
0,b'1',52,2,156,0.36,35.65217391,3.533467394,13,1
0,b'1',44,2,159,0.28,28.98550725,2.872737719,112,1
0,b'0',41,1,170,0.3,-10,-10,-609,1
0,b'0',54,2,160,0.36994,298.5507246,5.745475438,80,1
759.8784195,b'0',45,3,159,0.33888,75.36231884,7.46911807,75,1
0,b'1',48,1,168,0.33334,263.7681159,26.14191324,92,1
1418.439716,b'1',51,6,161,0.33758,217.3913043,21.54553289,59,1
2532.928065,b'1',56,1,151,0.37526,127.5362319,10.97385809,41,1
0,b'1',53,3,164,0.34844,257.9710145,2.872737719,106,1
0,b'0',73,2,160,0.26,108.9855072,10.80149382,76,1
2127.659574,b'1',45,1,173,0.34486,142.0289855,14.07641482,45,1
0,b'1',43,3,171,0.38,202.8985507,4.504452743,72,1
2026.342452,b'0',63,3,151,0.35714,536.8115942,53.20310256,90,1
0,b'1',51,1,159,0.3532,452.173913,44.81470842,16,1
709.2198582,b'1',75,1,168,0.38,503.7681159,42.51651824,128,1
0,b'1',58,2,170,0.29606,701.4492754,69.5202528,-55,1
0,b'1',65,3,160,0.27998,333.3333333,33.03648377,51,1
0,b'1',37,1,159,0.3384,43.47826087,4.309106579,50,1
455.9270517,b'1',45,1,154,0.3225,75.36231884,7.46911807,64,1
0,b'1',67,3,151,0.33914,471.884058,46.76817007,90,1
0,b'0',60,1,160,0.30014,501.4492754,49.69836254,110,1
0,b'1',50,1,146,0.34,796.5217391,78.94283252,-22,1
0,b'1',53,3,169,0.38,349.5652174,34.64521689,132,1
0,b'1',54,2,170,0.36718,144.9275362,-10,74,1
20263.42452,b'1',67,3,166,0.32418,713.0434783,70.66934789,76,1
0,b'0',40,1,160,0.34032,-10,-10,60,1
861.195542,b'1',54,4,164,0.3203,59.13043478,0.003160011,92,1
1013.171226,b'0',53,1,166,0.38,278.2608696,27.5782821,102,1
1215.805471,b'0',63,3,175,0.34942,1146.666667,19.3909796,134,1
0,b'1',62,3,164,0.37662,88.08695652,8.730249928,92,1
3039.513678,b'1',63,3,146,0.3039,58.84057971,5.83165757,96,1
506.585613,b'1',51,1,155,0.34,534.4927536,52.97328354,96,1
0,b'0',49,2,151,0.37,210.1449275,6.607296754,107,1
0,b'1',59,2,156,0.36946,89.85507246,8.905486929,58,1
0,b'0',57,1,148,0.36054,304.3478261,14.3636886,66,1
658.5612969,b'0',75,1,148,0.33282,40.57971014,-10,132,1
0,b'1',47,2,167,0.36,214.4927536,21.25825912,62,1
0,b'0',45,3,163,0.26158,56.52173913,5.601838552,111,1
0,b'0',74,2,154,0.36078,466.6666667,25.85463947,112,1
0,b'1',67,4,164,0.31612,634.0869565,62.84401034,87,1
0,b'1',61,1,159,0.255,1486.956522,147.371445,72,1
962.5126646,b'1',46,1,156,0.3882,181.1594203,17.95461074,129,1
0,b'1',58,4,159,0.24262,5.208695652,-10,73,1
0,b'1',53,2,168,0.35302,226.0869565,22.40735421,113,1
0,b'1',49,3,177,0.36384,60.86956522,6.03274921,65,1
0,b'1',41,3,164,0.39,-10,-10,-609,1
1215.805471,b'1',47,2,156,0.26456,24.57971014,-10,107,1
2026.342452,b'1',54,1,170,0.37,50.14492754,-10,46,1
0,b'1',44,1,159,0.34914,229.5652174,22.75208273,91,1
0,b'1',43,1,164,0.33428,43.47826087,4.309106579,75,1
0,b'1',61,1,159,0.34,724.6376812,71.81844298,-25,1
861.195542,b'0',63,3,147,0.37254,116.173913,11.51393278,-18,1
0,b'0',46,1,172,0.34902,-10,-10,81,1
0,b'1',67,3,169,0.36996,150.4347826,14.3636886,-45,1
12488.75279,b'1',71,2,164,0.32904,246.3768116,24.41827061,90,1
0,b'1',49,2,147,0.3372,144.9275362,14.3636886,124,1
1215.805471,b'1',75,2,171,0.36998,531.5942029,21.25825912,67,1
3039.513678,b'1',73,1,176,0.38,144.9275362,14.3636886,111,1
2026.342452,b'1',58,2,164,0.36488,253.6231884,-10,66,1
0,b'1',73,1,160,0.36924,1304.347826,129.2731974,134,1
0,b'0',48,3,147,0.32942,43.1884058,4.280379201,80,1
0,b'0',62,1,175,0.37,1017.971014,100.8905487,119,1
810.5369807,b'1',49,1,151,0.36918,43.47826087,4.309106579,75,1
0,b'0',58,1,146,0.35624,284.057971,28.15282965,96,1
0,b'1',47,2,164,0.32598,144.9275362,14.3636886,87,1
0,b'0',42,2,154,0.30972,508.6956522,50.41654697,69,1
0,b'1',52,1,151,0.37,185.5072464,18.3855214,45,1
0,b'0',66,1,175,0.368,211.884058,20.99971273,54,1
4052.684904,b'1',75,1,166,0.25364,458.2608696,45.41798334,105,1
3039.513678,b'1',75,2,154,0.24688,411.884058,40.82160299,-35,1
354.6099291,b'0',65,3,154,0.36,84.05797101,-10,121,1
3546.099291,b'1',56,1,156,0.37,1017.391304,100.8330939,63,1
1925.025329,b'0',66,3,154,0.32942,202.8985507,20.10916403,126,1
1519.756839,b'1',56,1,162,0.38,397.1014493,36.08158575,101,1
3039.513678,b'1',63,2,152,0.29394,86.95652174,8.618213157,-19,1
0,b'1',66,3,158,0.37,159.4202899,15.80005745,3,1
0,b'1',53,3,168,0.37,579.7101449,43.09106579,86,1
2026.342452,b'1',70,2,156,0.37182,246.3768116,21.83280666,76,1
0,b'0',53,2,146,0.37906,286.9565217,28.44010342,111,1
0,b'1',62,2,149,0.31046,478.2608696,28.72737719,103,1
2532.928065,b'1',74,1,157,0.33362,68.80289855,-10,85,1
1013.171226,b'1',40,1,164,0.38,55.07246377,5.458201666,77,1
0,b'1',61,3,164,0.38,434.7826087,6.03274921,89,1
0,b'1',63,1,160,0.37,827.5362319,82.01666188,82,1
0,b'1',56,1,146,0.26452,962.3188406,95.37489227,121,1
709.2198582,b'1',64,3,159,0.35,107.2463768,10.62912956,100,1
0,b'0',49,1,168,0.34526,255.0724638,25.28009193,124,1
3039.513678,b'1',64,2,168,0.36634,1364.927536,135.2772192,59,1
506.585613,b'0',46,1,167,0.35828,152.5101449,14.3636886,53,1
0,b'1',66,1,149,0.34,414.4927536,41.08014938,123,1
0,b'1',40,1,170,0.35,-10,-10,85,1
